Part,Amount,Price,Link,
DC Motor 12V 40rpm,1,$31.03,[Aliexpress](https://www.aliexpress.us/item/3256806662231852.html?spm=a2g0o.cart.0.0.553338daGjKtK7&mp=1&pdp_npi=6%40dis%21USD%21USD%2032.13%21USD%2031.03%21%21USD%2031.03%21%21%21%40210325a917714755687163229ef3cb%2112000050558053125%21ct%21US%216359134517%21%211%210%21&_gl=1*1iv9env*_gcl_aw*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_au*NjA3MzI1ODk5LjE3NjQwNDQ3OTE.*_ga*MjkyNjE5Njk0LjE3NzEzODgyMzA.*_ga_VED1YSGNC7*czE3NzE0NzIzODckbzUkZzEkdDE3NzE0NzU2NTEkajM4JGwwJGgw&gatewayAdapt=glo2usa)
DC Motor 1200RPM,1,$9.90,[Aliexpress](https://www.aliexpress.us/item/3256807114067845.html?spm=a2g0o.cart.0.0.553338daGjKtK7&mp=1&pdp_npi=6%40dis%21USD%21USD%2017.07%21USD%209.90%21%21USD%209.90%21%21%21%40210319b017714755413354256ebf02%2112000040117671201%21ct%21US%216359134517%21%211%210%21&_gl=1*1fm5vel*_gcl_aw*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_au*NjA3MzI1ODk5LjE3NjQwNDQ3OTE.*_ga*MjkyNjE5Njk0LjE3NzEzODgyMzA.*_ga_VED1YSGNC7*czE3NzE0NzIzODckbzUkZzEkdDE3NzE0NzU2MjkkajYwJGwwJGgw&gatewayAdapt=glo2usa)
Metal Servo 40kg high torque,1,$14.98,[Aliexpress](https://www.aliexpress.us/item/3256811468095344.html?spm=a2g0o.cart.0.0.553338daGjKtK7&mp=1&pdp_npi=6%40dis%21USD%21USD%2035.58%21USD%2014.98%21%21USD%2014.98%21%21%21%402103128917714755750405315e7372%2112000056157671893%21ct%21US%216359134517%21%211%210%21&_gl=1*feswzc*_gcl_aw*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_au*NjA3MzI1ODk5LjE3NjQwNDQ3OTE.*_ga*MjkyNjE5Njk0LjE3NzEzODgyMzA.*_ga_VED1YSGNC7*czE3NzE0NzIzODckbzUkZzEkdDE3NzE0NzU1NDckajQ2JGwwJGgw&gatewayAdapt=glo2usa)
Metal tube inner 5mm, 500mm long, 1mm wall thickness|1|$5.60|[Aliexpress](https://www.aliexpress.us/item/3256806477790517.html?spm=a2g0o.productlist.main.1.52e94fcaNFkp2O&algo_pvid=37a11e9c-0152-4256-ac2d-bc58ccf528fe&algo_exp_id=37a11e9c-0152-4256-ac2d-bc58ccf528fe-0&pdp_ext_f=%7B%22order%22%3A%223645%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.70%212.59%21%21%2125.36%2117.75%21%40210311c217714749649182502e5c0e%2112000037959176568%21sea%21US%216359134517%21X%211%210%21n_tag%3A-29911%3Bd%3A5fc23edd%3Bm03_new_user%3A-29895&curPageLogUid=KEQEtKYJboxA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006664105269%7C_p_origin_prod%3A)
MOSFET Switch Module|1|$3.03|[Aliexpress](https://www.aliexpress.us/item/3256806548040118.html?spm=a2g0o.cart.0.0.377d38da0EMX4H&mp=1&pdp_npi=6%40dis%21USD%21USD%206.05%21USD%203.03%21%21USD%202.94%21%21%21%4021030a6217714744442172844ea5e1%2112000047075316940%21ct%21US%216359134517%21%211%210%21&_gl=1*8uu7n7*_gcl_aw*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_au*NjA3MzI1ODk5LjE3NjQwNDQ3OTE.*_ga*MjkyNjE5Njk0LjE3NzEzODgyMzA.*_ga_VED1YSGNC7*czE3NzE0NzIzODckbzUkZzEkdDE3NzE0NzQ4NjEkajYwJGwwJGgw&gatewayAdapt=glo2usa)
DRV BTS7960 43A H-bridge|1|$4.25|[Aliexpress](https://www.aliexpress.us/item/3256807536449077.html?spm=a2g0o.cart.0.0.377d38da0EMX4H&mp=1&pdp_npi=6%40dis%21USD%21USD%2013.70%21USD%204.25%21%21USD%204.13%21%21%21%4021030a6217714744442172844ea5e1%2112000041979749964%21ct%21US%216359134517%21%211%210%21&_gl=1*17ekvsx*_gcl_aw*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_au*NjA3MzI1ODk5LjE3NjQwNDQ3OTE.*_ga*MjkyNjE5Njk0LjE3NzEzODgyMzA.*_ga_VED1YSGNC7*czE3NzE0NzIzODckbzUkZzEkdDE3NzE0NzQ3OTIkajQ1JGwwJGgw&gatewayAdapt=glo2usa)
Battery 3S 5000mAh 30C XT60|1|$28.75|[Aliexpress](https://www.aliexpress.com/item/3256806955897428.html?spm=a2g0o.cart.0.0.377d38da0EMX4H&mp=1&pdp_npi=6%40dis%21USD%21USD%2062.49%21USD%2028.75%21%21USD%2028.75%21%21%21%4021033d9d17714744620854161e765e%2112000039559068840%21ct%21US%216359134517%21%211%210%21&_gl=1*1uv7v6v*_gcl_aw*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_au*NjA3MzI1ODk5LjE3NjQwNDQ3OTE.*_ga*MjkyNjE5Njk0LjE3NzEzODgyMzA.*_ga_VED1YSGNC7*czE3NzE0NzIzODckbzUkZzEkdDE3NzE0NzQ2OTQkajI0JGwwJGgw)
Arduino UNO|1|$5.47|[Aliexpress](https://www.aliexpress.us/item/3256806346082713.html?spm=a2g0o.cart.0.0.377d38da0EMX4H&mp=1&pdp_npi=6%40dis%21USD%21USD%205.66%21USD%205.47%21%21USD%205.47%21%21%21%4021030a6217714744555993169ea5e1%2112000037553613881%21ct%21US%216359134517%21%211%210%21&_gl=1*1n4xpm2*_gcl_aw*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_au*NjA3MzI1ODk5LjE3NjQwNDQ3OTE.*_ga*MjkyNjE5Njk0LjE3NzEzODgyMzA.*_ga_VED1YSGNC7*czE3NzE0NzIzODckbzUkZzEkdDE3NzE0NzQ2NjckajUxJGwwJGgw&gatewayAdapt=glo2usa)
Screw Set M2-M3|1|$16.93|[Aliexpress](https://www.aliexpress.us/item/3256807306823960.html?spm=a2g0o.productlist.main.2.198d271c7xxnSf&algo_pvid=904aca4e-9ac4-4edc-ad7d-741683a55c6c&algo_exp_id=904aca4e-9ac4-4edc-ad7d-741683a55c6c-1&pdp_ext_f=%7B%22order%22%3A%22163%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2137.84%2116.93%21%21%21259.36%21116.04%21%402101df0e17714745688646802e6d1f%2112000041054470059%21sea%21US%216359134517%21X%211%210%21n_tag%3A-29911%3Bd%3A5fc23edd%3Bm03_new_user%3A-29895%3BpisId%3A5000000200947102&curPageLogUid=eUdCi0hLB2pD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007493138712%7C_p_origin_prod%3A)
Threaded insert set M2-M3|1|$10.40|[Aliexpress](https://www.aliexpress.us/item/3256806286648221.html?spm=a2g0o.cart.0.0.377d38da0EMX4H&mp=1&pdp_npi=6%40dis%21USD%21USD%2011.04%21USD%2010.40%21%21USD%2010.40%21%21%21%4021030a6217714744555993169ea5e1%2112000037324316046%21ct%21US%216359134517%21%211%210%21&_gl=1*bhwciq*_gcl_aw*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_dc*R0NMLjE3NjkyODgwMzkuQ2owS0NRaUEtTkhMQmhEU0FSSXNBSWhlOVgxaGhiR1BRLV9MeVg0S3Z2S1VjWExqbnFfZmlOSHNXRzdhV3UwOFV3Q1RDVW8zcGl1RXprQWFBaHlZRUFMd193Y0I.*_gcl_au*NjA3MzI1ODk5LjE3NjQwNDQ3OTE.*_ga*MjkyNjE5Njk0LjE3NzEzODgyMzA.*_ga_VED1YSGNC7*czE3NzE0NzIzODckbzUkZzEkdDE3NzE0NzQ0NDckajUxJGwwJGgw&gatewayAdapt=glo2usa)
Wheels|1|$15.93|[Aliexpress](https://www.aliexpress.us/item/3256809798995125.html?spm=a2g0o.productlist.main.6.296c3ff1cuxPKD&algo_pvid=a1c65399-1c50-4605-9484-f0ee2249ed1f&algo_exp_id=a1c65399-1c50-4605-9484-f0ee2249ed1f-5&pdp_ext_f=%7B%22order%22%3A%2238%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2134.64%2115.93%21%21%21237.42%21109.21%21%402101f11417714742418315912ecc6c%2112000050786576046%21sea%21US%216359134517%21X%211%210%21n_tag%3A-29911%3Bd%3A5fc23edd%3Bm03_new_user%3A-29895&curPageLogUid=MPSk6vy8afyK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009985309877%7C_p_origin_prod%3A)
B3 Compact Charger|1|$5.97|[Aliexpress](https://www.aliexpress.us/item/3256805836829983.html?spm=a2g0o.productlist.main.10.51a9PnsZPnsZdR&algo_pvid=e6d7ace8-5f19-48e1-af62-f898ccf0a561&algo_exp_id=e6d7ace8-5f19-48e1-af62-f898ccf0a561-9&pdp_ext_f=%7B%22order%22%3A%22201%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.98%213.98%21%21%2127.28%2127.28%21%402101df0e17714738461855907e6d25%2112000035365761474%21sea%21US%216359134517%21X%211%210%21n_tag%3A-29911%3Bd%3A5fc23edd%3Bm03_new_user%3A-29895&curPageLogUid=hkDRgls5z8Xa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006023144735%7C_p_origin_prod%3A)
XL4015 5A|1|$2.05|[Aliexpress](https://www.aliexpress.us/item/3256807043031941.html?spm=a2g0o.productlist.main.6.30517d87Kfpke9&algo_pvid=379e8d91-8d2d-42e2-b4d7-4753f0121531&algo_exp_id=379e8d91-8d2d-42e2-b4d7-4753f0121531-5&pdp_ext_f=%7B%22order%22%3A%22680%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.21%212.05%21%21%2142.57%2114.05%21%402103129f17714754229306628e19f3%2112000039966164274%21sea%21US%216359134517%21X%211%210%21n_tag%3A-29911%3Bd%3A5fc23edd%3Bm03_new_user%3A-29895&curPageLogUid=kva1COFelquC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007229346693%7C_p_origin_prod%3A)
